,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,address2,latitude,longitude
50004596,3.0,4.0,2014-03-28,2016-03-21,2015-03-18,10002,MANHATTAN,Café/Coffee/Tea,511 GRAND ST,3,1,3,2.0,1.0,2,1.0,0.5,369,724,0,"511 GRAND ST, NY",40.7144836,-73.9821591
50004597,14.0,9.0,2014-01-14,2016-06-15,2015-10-07,11355,QUEENS,Chinese,13677 41ST AVE,9,1,1,13.0,8.0,8,1.625,1.0,252,883,0,"13677 41ST AVE, NY",40.759329,-73.8259679
50004599,11.0,7.0,2013-12-18,2016-12-07,2015-11-12,10458,BRONX,Pizza/Italian,4555 3RD AVE,7,1,1,10.0,6.0,6,1.66666666667,1.0,391,1085,0,"4555 3RD AVE, NY",40.8549031,-73.8905645
50004608,20.0,9.0,2014-08-13,2017-01-26,2016-12-27,10459,BRONX,Spanish,967 E 167TH ST,10,4,2,16.0,7.0,9,1.77777777778,0.777777777778,30,897,1,"967 E 167TH ST, NY",40.82700305,-73.8913245629
50004615,7.0,7.0,2014-05-03,2016-12-29,2015-11-04,10019,MANHATTAN,Italian,768 5TH AVE,5,1,1,6.0,6.0,4,1.5,1.5,421,971,0,"768 5TH AVE, NY",40.76447735,-73.9744894762
50004619,19.0,9.0,2014-03-17,2016-08-05,2016-07-08,10013,MANHATTAN,Chinese,42 MULBERRY ST,12,2,2,17.0,7.0,11,1.54545454545,0.636363636364,28,872,1,"42 MULBERRY ST, NY",40.714903,-73.9994366457
50004620,14.0,13.0,2014-01-14,2016-11-29,2016-11-01,11201,BROOKLYN,Asian,118 MONTAGUE ST,9,1,2,13.0,11.0,8,1.625,1.375,28,1050,0,"118 MONTAGUE ST, NY",40.69472485,-73.9947609689
50004621,5.0,5.0,2013-12-20,2016-04-26,2015-05-18,11220,BROOKLYN,Café/Coffee/Tea,4722 8TH AVE,5,2,1,3.0,4.0,4,0.75,1.0,344,858,1,"4722 8TH AVE, NY",40.6425002,-74.0024806
50004623,8.0,7.0,2014-03-31,2016-04-29,2015-04-10,10022,MANHATTAN,American,570 LEXINGTON AVE,6,1,1,7.0,6.0,5,1.4,1.2,385,760,0,"570 LEXINGTON AVE, NY",40.75708405,-73.9724542494
50004629,11.0,4.0,2014-06-04,2016-10-05,2016-09-15,11101,QUEENS,Caribbean,1209 40TH AVE,8,1,1,10.0,3.0,7,1.42857142857,0.428571428571,20,854,0,"1209 40TH AVE, NY",40.754719,-73.9402499
50004633,23.0,9.0,2014-01-06,2016-11-05,2015-11-12,11355,QUEENS,Chinese,4207 MAIN ST,11,2,1,21.0,8.0,10,2.1,0.8,359,1034,1,"4207 MAIN ST, NY",43.1086491,-79.0540834
50004651,14.0,6.0,2014-05-01,2016-01-06,2015-06-04,10128,MANHATTAN,American,1720 2ND AVE,7,2,1,12.0,5.0,6,2.0,0.833333333333,216,615,1,"1720 2ND AVE, NY",40.7799689,-73.9498922288
50004654,3.0,2.0,2014-03-19,2016-04-05,2015-04-17,10004,MANHATTAN,German,19 S WILLIAM ST,3,1,1,2.0,1.0,2,1.0,0.5,354,748,0,"19 S WILLIAM ST, NY",40.7043859,-74.0104897
50004655,8.0,5.0,2014-05-23,2017-02-11,2015-12-05,11222,BROOKLYN,French,113 FRANKLIN ST,5,2,1,6.0,4.0,4,1.5,1.0,434,995,1,"113 FRANKLIN ST, NY",40.7302402,-73.9578046
50004673,41.0,22.0,2014-02-26,2017-02-14,2017-01-24,11354,QUEENS,Chinese,3907 PRINCE ST,14,3,1,38.0,21.0,13,2.92307692308,1.61538461538,21,1084,1,"3907 PRINCE ST, NY",42.700867,-73.6967263
50004674,26.0,19.0,2014-01-14,2016-12-19,2016-11-28,10013,MANHATTAN,Korean,253 CHURCH ST,11,2,1,24.0,18.0,10,2.4,1.8,21,1070,1,"253 CHURCH ST, NY",40.717874,-74.0053245766
50004680,11.0,8.0,2014-04-18,2017-01-06,2016-07-30,11231,BROOKLYN,American,412 COURT ST,7,2,2,9.0,6.0,6,1.5,1.0,160,994,1,"412 COURT ST, NY",44.698511,-73.4520929
50004681,5.0,5.0,2014-05-03,2017-03-23,2016-02-03,10014,MANHATTAN,American,420 HUDSON ST,5,1,2,4.0,3.0,4,1.0,0.75,414,1055,0,"420 HUDSON ST, NY",40.7303261,-74.006664
50004682,11.0,6.0,2015-01-21,2017-04-11,2016-09-15,10451,BRONX,Pizza,3075 3RD AVE,8,2,1,9.0,5.0,7,1.28571428571,0.714285714286,208,811,1,"3075 3RD AVE, NY",40.8209903,-73.9126548
50004698,4.0,2.0,2013-12-05,2016-03-24,2014-12-09,10305,STATEN ISLAND,Pizza/Italian,1372 BAY ST,3,1,1,3.0,1.0,2,1.5,0.5,471,840,0,"1372 BAY ST, NY",40.6100785,-74.0633422
50004710,6.0,6.0,2014-07-28,2017-02-28,2016-01-04,11357,QUEENS,Donuts,1030 154TH ST,5,1,2,5.0,4.0,4,1.25,1.0,421,946,0,"1030 154TH ST, NY",40.694857,-73.7987669
50004713,15.0,5.0,2014-05-08,2016-09-29,2016-01-27,10003,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",308 E 6TH ST,7,1,1,14.0,4.0,6,2.33333333333,0.666666666667,246,875,0,"308 E 6TH ST, NY",40.7272875,-73.9882917
50004721,1.0,4.0,2015-01-29,2017-03-13,2016-02-16,11413,QUEENS,American,21903 N CONDUIT AVE,3,1,2,0.0,2.0,2,0.0,1.0,391,774,0,"21903 N CONDUIT AVE, NY",40.6681633,-73.8403411
50004795,20.0,9.0,2014-03-11,2016-09-15,2016-08-30,11210,BROOKLYN,Pizza,2900 BEDFORD AVENUE,8,3,2,17.0,7.0,7,2.42857142857,1.0,16,919,1,"2900 BEDFORD AVENUE, NY",40.63175995,-73.9534811161
