,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,address2,latitude,longitude
40373118,18.0,10.0,2014-12-31,2017-04-04,2017-02-28,10312,STATEN ISLAND,American,3281 RICHMOND AVENUE,8,1,2,17.0,8.0,7,2.42857142857,1.14285714286,35,825,0,"3281 RICHMOND AVENUE, NY",40.5707687,-74.1699286
40373160,6.0,10.0,2014-01-18,2017-01-17,2016-10-18,11218,BROOKLYN,Pizza/Italian,226 CHURCH AVENUE,9,1,1,5.0,9.0,8,0.625,1.125,91,1095,0,"226 CHURCH AVENUE, NY",40.6434387,-73.9775658
40373272,9.0,5.0,2013-11-15,2016-09-22,2015-07-24,11201,BROOKLYN,American,44 HENRY STREET,5,2,1,7.0,4.0,4,1.75,1.0,426,1042,1,"44 HENRY STREET, NY",40.7127154,-73.9957137514
40373318,8.0,5.0,2013-08-19,2016-05-27,2015-09-03,10014,MANHATTAN,Japanese,210 6 AVENUE,5,1,1,7.0,4.0,4,1.75,1.0,267,1012,0,"210 6 AVENUE, NY",40.5879587403,-73.973324011
40373597,10.0,7.0,2014-04-23,2017-03-28,2017-03-01,11209,BROOKLYN,Pizza/Italian,7522 3 AVENUE,6,2,2,8.0,5.0,5,1.6,1.0,27,1070,1,"7522 3 AVENUE, NY",40.600409,-74.1449409
40373656,11.0,7.0,2013-06-10,2016-05-16,2015-07-29,10018,MANHATTAN,Steak,72 WEST 36th STREET,8,1,1,10.0,6.0,7,1.42857142857,0.857142857143,292,1071,0,"72 WEST 36th STREET, NY",40.7509339,-73.9862375
40373669,5.0,3.0,2013-05-13,2016-04-29,2015-05-21,10016,MANHATTAN,American,515 3 AVENUE,4,2,1,3.0,2.0,3,1.0,0.666666666667,344,1082,1,"515 3 AVENUE, NY",40.5888610749,-73.9666705693
40373912,4.0,5.0,2014-04-29,2017-04-05,2016-02-23,10012,MANHATTAN,American,206 THOMPSON STREET,4,1,2,3.0,3.0,3,1.0,1.0,407,1072,0,"206 THOMPSON STREET, NY",40.72860515,-73.9993187087
40373938,5.0,9.0,2014-02-20,2016-09-21,2016-08-16,10463,BRONX,American,5655 BROADWAY,6,1,2,4.0,7.0,5,0.8,1.4,36,944,0,"5655 BROADWAY, NY",40.8803571,-73.9040115
40374131,16.0,7.0,2014-08-26,2017-03-23,2016-09-06,10022,MANHATTAN,Pizza/Italian,1005 2 AVENUE,8,3,2,13.0,5.0,7,1.85714285714,0.714285714286,198,940,1,"1005 2 AVENUE, NY",40.5895550612,-73.9603441633
40374192,9.0,5.0,2013-06-15,2016-02-12,2014-11-22,10028,MANHATTAN,Italian,1621 SECOND AVENUE,6,2,1,7.0,4.0,5,1.4,0.8,447,972,1,"1621 SECOND AVENUE, NY",42.8012145,-73.9525797
40374277,16.0,11.0,2013-08-01,2016-05-16,2015-06-26,10001,MANHATTAN,Irish,402 8 AVENUE,10,1,1,15.0,10.0,9,1.66666666667,1.11111111111,325,1019,0,"402 8 AVENUE, NY",40.5881959167,-73.9711486667
40374395,5.0,5.0,2014-06-11,2017-01-26,2015-12-01,11234,BROOKLYN,Italian,5945 STRICKLAND AVE,5,1,2,4.0,3.0,4,1.0,0.75,422,960,0,"5945 STRICKLAND AVE, NY",40.6090684,-73.9152838
