,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus
41185798,5.0,4.0,2014-01-06,2016-07-08,2016-01-25,10003,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",95 EAST   10 STREET,5,1,1,4.0,3.0,4,1.0,0.75,165,914,0
41185899,15.0,8.0,2014-04-18,2017-03-30,2017-02-28,10001,MANHATTAN,Korean,15 WEST 32 STREET,9,2,1,13.0,7.0,8,1.625,0.875,30,1077,1
41185928,18.0,8.0,2013-08-14,2016-07-13,2015-12-30,11385,QUEENS,Pizza,8000 COOPER AVENUE,8,1,1,17.0,7.0,7,2.4285714285714284,1.0,196,1064,0
41186059,18.0,13.0,2013-07-15,2016-05-18,2015-06-18,11102,QUEENS,Bagels/Pretzels,3113 30 AVENUE,11,1,3,17.0,10.0,10,1.7,1.0,335,1038,0
41186118,9.0,6.0,2014-04-03,2016-12-12,2016-10-04,11366,QUEENS,"Ice Cream, Gelato, Yogurt, Ices",17660 UNION TURNPIKE,6,2,1,7.0,5.0,5,1.4,1.0,69,984,1
41186217,6.0,7.0,2014-07-31,2016-10-25,2016-08-24,10014,MANHATTAN,American,90 BEDFORD STREET,5,1,1,5.0,6.0,4,1.25,1.5,62,817,0
41186285,28.0,12.0,2014-03-26,2017-02-22,2016-06-27,11215,BROOKLYN,Bakery,374 9 STREET,11,1,3,27.0,9.0,10,2.7,0.9,240,1064,0
41186427,4.0,5.0,2013-06-01,2016-05-12,2015-05-20,10314,STATEN ISLAND,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4168 VICTORY BOULEVARD,4,1,1,3.0,4.0,3,1.0,1.3333333333333333,358,1076,0
41186643,6.0,6.0,2014-04-29,2017-02-16,2017-01-19,11212,BROOKLYN,Chinese,72 BELMONT AVENUE,6,1,1,5.0,5.0,5,1.0,1.0,28,1024,0
41186822,8.0,11.0,2014-03-06,2017-02-16,2016-01-12,11372,QUEENS,Pizza,8308 37 AVENUE,7,1,2,7.0,9.0,6,1.1666666666666667,1.5,401,1078,0
41186947,16.0,17.0,2013-10-18,2016-07-07,2015-11-10,10036,MANHATTAN,Italian,671 9 AVENUE,12,1,1,15.0,16.0,11,1.3636363636363635,1.4545454545454546,240,993,0
41187502,13.0,9.0,2013-05-24,2016-03-17,2015-06-03,10014,MANHATTAN,Italian,355 WEST 14 STREET,8,2,1,11.0,8.0,7,1.5714285714285714,1.1428571428571428,288,1028,1
41187508,20.0,14.0,2013-08-29,2016-03-10,2015-02-02,11371,QUEENS,American,0 LAGAURDIA AIRPORT,8,1,2,19.0,12.0,7,2.7142857142857144,1.7142857142857142,402,924,0
41187546,7.0,6.0,2013-07-31,2016-03-29,2015-03-17,10018,MANHATTAN,Steak,315 WEST   36 STREET,5,2,1,5.0,5.0,4,1.25,1.25,378,972,1
41187577,36.0,21.0,2014-08-22,2017-04-05,2017-03-21,11358,QUEENS,Korean,16026 NORTHERN BOULEVARD,11,2,1,34.0,20.0,10,3.4,2.0,15,957,1
41187602,17.0,7.0,2014-04-24,2017-02-03,2017-01-11,10023,MANHATTAN,Indian,283 COLUMBUS AVENUE,7,2,1,15.0,6.0,6,2.5,1.0,23,1016,1
41187642,8.0,7.0,2014-02-10,2017-01-11,2015-12-03,10462,BRONX,Pizza,761 MORRIS PARK AVENUE,7,1,2,7.0,5.0,6,1.1666666666666667,0.8333333333333334,405,1066,0
41188064,11.0,8.0,2014-02-21,2016-09-13,2015-10-01,10010,MANHATTAN,Italian,47 EAST   21 STREET,9,1,1,10.0,7.0,8,1.25,0.875,348,935,0
41188374,18.0,10.0,2014-02-25,2016-09-20,2016-03-04,10026,MANHATTAN,Soul Food,271 WEST  119 STREET,8,2,2,16.0,8.0,7,2.2857142857142856,1.1428571428571428,200,938,1
41188476,13.0,12.0,2013-05-11,2016-02-16,2015-08-31,10013,MANHATTAN,Mexican,55 GRAND STREET,8,2,1,11.0,11.0,7,1.5714285714285714,1.5714285714285714,169,1011,1
41188631,21.0,15.0,2014-03-11,2016-10-04,2016-09-07,11215,BROOKLYN,Chinese,752 UNION STREET,9,1,1,20.0,14.0,8,2.5,1.75,27,938,0
41188824,27.0,12.0,2014-04-29,2016-12-02,2016-11-02,10003,MANHATTAN,American,841 BROADWAY,9,1,1,26.0,11.0,8,3.25,1.375,30,948,0
41189176,12.0,11.0,2014-01-21,2016-11-07,2016-10-06,10019,MANHATTAN,American,861 7 AVENUE,6,1,1,11.0,10.0,5,2.2,2.0,32,1021,0
41189470,11.0,11.0,2013-03-28,2016-03-10,2015-09-16,11208,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3472 FULTON STREET,9,1,3,10.0,8.0,8,1.25,1.0,176,1078,0
41189485,9.0,8.0,2015-01-06,2017-01-23,2015-12-09,11101,QUEENS,Delicatessen,2818 41 AVENUE,6,2,1,7.0,7.0,5,1.4,1.4,411,748,1
41189761,6.0,1.0,2013-12-02,2016-05-04,2015-05-21,11231,BROOKLYN,Bagels/Pretzels,350 VAN BRUNT ST,5,1,1,5.0,0.0,4,1.25,0.0,349,884,0
41189774,16.0,10.0,2014-02-18,2016-12-19,2016-09-15,10010,MANHATTAN,Mexican,348 1 AVENUE,10,1,1,15.0,9.0,9,1.6666666666666667,1.0,95,1035,0
41189848,13.0,6.0,2014-04-28,2017-01-06,2016-11-23,10029,MANHATTAN,Pizza,150 EAST  116 STREET,6,1,1,12.0,5.0,5,2.4,1.0,44,984,0
41190059,7.0,14.0,2014-12-15,2017-03-17,2016-02-08,11224,BROOKLYN,American,3081 CROPSEY AVENUE,6,1,3,6.0,11.0,5,1.2,2.2,403,823,0
41190111,6.0,4.0,2013-11-22,2016-04-19,2015-04-17,10012,MANHATTAN,"Juice, Smoothies, Fruit Salads",495 BROADWAY,5,1,1,5.0,3.0,4,1.25,0.75,368,879,0
41190258,14.0,12.0,2014-04-29,2017-01-25,2016-07-05,11201,BROOKLYN,Japanese,122 SMITH STREET,8,1,3,13.0,9.0,7,1.8571428571428572,1.2857142857142858,204,1002,0
41190419,7.0,7.0,2014-04-24,2016-04-19,2015-04-30,10301,STATEN ISLAND,American,29 HYATT STREET,6,2,1,5.0,6.0,5,1.0,1.2,355,726,1
41190515,12.0,10.0,2013-05-03,2016-01-15,2015-06-13,10034,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",110 SHERMAN AVENUE,6,1,2,11.0,8.0,5,2.2,1.6,216,987,0
41190791,10.0,4.0,2014-07-10,2017-02-21,2016-02-23,11238,BROOKLYN,French,632 VANDERBILT AVENUE,5,2,1,8.0,3.0,4,2.0,0.75,364,957,1
41190814,17.0,12.0,2014-02-19,2016-11-01,2016-10-04,11379,QUEENS,Sandwiches,6924 METROPOLITAN AVENUE,11,1,2,16.0,10.0,10,1.6,1.0,28,986,0
41191334,24.0,7.0,2014-03-31,2016-11-25,2016-10-27,10003,MANHATTAN,Pizza,145 1 AVENUE,10,2,1,22.0,6.0,9,2.4444444444444446,0.6666666666666666,29,970,1
41191438,6.0,9.0,2014-04-10,2016-12-16,2016-05-03,11238,BROOKLYN,American,236 UNDERHILL AVENUE,5,1,3,5.0,6.0,4,1.25,1.5,227,981,0
41191561,20.0,15.0,2014-04-21,2017-02-09,2016-09-15,11230,BROOKLYN,Pakistani,1107 CONEY ISLAND AVE,8,1,1,19.0,14.0,7,2.7142857142857144,2.0,147,1025,0
41191695,5.0,5.0,2014-05-20,2016-09-15,2015-10-02,10009,MANHATTAN,American,212 AVENUE B,5,1,3,4.0,2.0,4,1.0,0.5,349,849,0
41191810,3.0,6.0,2013-05-14,2016-04-14,2015-05-06,10009,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",939312 EAST    7 STREET,4,1,1,2.0,5.0,3,0.6666666666666666,1.6666666666666667,344,1066,0
41191856,5.0,5.0,2013-06-12,2016-05-09,2015-06-02,10036,MANHATTAN,American,266 WEST   47 STREET,4,1,1,4.0,4.0,3,1.3333333333333333,1.3333333333333333,342,1062,0
41192004,10.0,5.0,2014-04-01,2016-05-25,2015-11-04,11373,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9002 43 AVENUE,6,1,2,9.0,3.0,5,1.8,0.6,203,785,0
41192316,14.0,12.0,2014-02-06,2017-02-03,2016-10-15,10475,BRONX,Caribbean,4012 BOSTON ROAD,9,2,1,12.0,11.0,8,1.5,1.375,111,1093,1
41192474,12.0,7.0,2013-12-14,2016-05-26,2015-11-19,11222,BROOKLYN,Delicatessen,788 MANHATTAN AVENUE,8,1,1,11.0,6.0,7,1.5714285714285714,0.8571428571428571,189,894,0
41192508,2.0,4.0,2014-02-21,2016-02-24,2015-02-13,10040,MANHATTAN,Donuts,130 DYCKMAN STREET,3,1,1,1.0,3.0,2,0.5,1.5,376,733,0
41192835,9.0,6.0,2014-03-20,2016-10-11,2016-08-24,11375,QUEENS,Bagels/Pretzels,10441 QUEENS BOULEVARD,6,1,1,8.0,5.0,5,1.6,1.0,48,936,0
41193019,11.0,10.0,2014-04-02,2016-12-23,2016-11-03,10019,MANHATTAN,American,20 WEST   55 STREET,7,1,1,10.0,9.0,6,1.6666666666666667,1.5,50,996,0
41193088,39.0,20.0,2014-04-28,2017-01-18,2016-09-16,10029,MANHATTAN,Mexican,227 EAST  116 STREET,17,2,1,37.0,19.0,16,2.3125,1.1875,124,996,1
41193094,12.0,5.0,2013-06-21,2016-06-11,2015-06-05,11224,BROOKLYN,American,3019 WEST   12 STREET,5,2,1,10.0,4.0,4,2.5,1.0,372,1086,1
41193113,7.0,2.0,2014-04-24,2017-01-18,2015-12-01,11234,BROOKLYN,Japanese,6328 AVENUE N,5,2,1,5.0,1.0,4,1.25,0.25,414,1000,1
41193451,23.0,11.0,2014-01-13,2016-11-07,2016-10-07,10011,MANHATTAN,French,44 WEST   17 STREET,11,1,3,22.0,8.0,10,2.2,0.8,31,1029,0
41193517,3.0,4.0,2014-12-19,2017-04-03,2016-02-05,11419,QUEENS,Indian,11916 101 AVENUE,3,1,1,2.0,3.0,2,1.0,1.5,423,836,0
41193629,14.0,8.0,2015-01-30,2017-03-28,2016-03-01,11231,BROOKLYN,French,263 SMITH STREET,6,5,2,9.0,6.0,5,1.8,1.2,392,788,1
41193681,15.0,16.0,2013-07-19,2016-05-27,2015-12-15,11373,QUEENS,Hamburgers,9505 57 AVENUE,10,1,2,14.0,14.0,9,1.5555555555555556,1.5555555555555556,164,1043,0
41193687,9.0,6.0,2014-01-09,2016-10-19,2016-05-09,11373,QUEENS,Hamburgers,9119 QUEEN BOULEVARD,7,1,1,8.0,5.0,6,1.3333333333333333,0.8333333333333334,163,1014,0
41193772,7.0,4.0,2013-09-23,2016-05-26,2015-09-14,10001,MANHATTAN,Japanese,348 7 AVENUE,5,2,1,5.0,3.0,4,1.25,0.75,255,976,1
41193976,26.0,8.0,2013-06-19,2016-04-20,2015-04-08,11105,QUEENS,Thai,2109 31 STREET,8,2,2,24.0,6.0,7,3.4285714285714284,0.8571428571428571,378,1036,1
41194024,6.0,7.0,2014-02-07,2016-08-31,2015-07-29,10023,MANHATTAN,Middle Eastern,305 AMSTERDAM AVENUE,5,1,2,5.0,5.0,4,1.25,1.25,399,936,0
41194510,26.0,17.0,2014-03-10,2017-02-04,2017-01-10,11209,BROOKLYN,Pizza/Italian,280 86 STREET,12,1,2,25.0,15.0,11,2.272727272727273,1.3636363636363635,25,1062,0
41194745,20.0,10.0,2014-07-30,2017-02-15,2016-12-08,11355,QUEENS,Chinese,14009 CHERRRY AVENUE,11,2,1,18.0,9.0,10,1.8,0.9,69,931,1
41194762,20.0,8.0,2013-09-30,2016-09-26,2016-04-29,10021,MANHATTAN,Chinese,1324 2 AVENUE,11,1,2,19.0,6.0,10,1.9,0.6,150,1092,0
41194832,2.0,4.0,2013-05-16,2016-04-21,2015-04-23,11369,QUEENS,American,0 LAGUARDIA AIRPORT,4,1,1,1.0,3.0,3,0.3333333333333333,1.0,364,1071,0
41194838,1.0,4.0,2014-12-11,2017-01-19,2015-12-01,11369,QUEENS,American,0 LAGUARDIA AIRPORT,3,1,2,0.0,2.0,2,0.0,1.0,415,770,0
41194868,9.0,17.0,2013-08-01,2016-04-21,2015-04-30,11369,QUEENS,American,0 LAGUARDIA AIRPORT,8,1,1,8.0,16.0,7,1.1428571428571428,2.2857142857142856,357,994,0
41194917,1.0,2.0,2014-05-14,2017-01-19,2015-12-01,11369,QUEENS,Café/Coffee/Tea,0 LAGUARDIA AIRPORT,3,1,1,0.0,1.0,2,0.0,0.5,415,981,0
41194925,7.0,8.0,2013-03-04,2016-03-03,2015-02-18,11357,QUEENS,Bakery,2007 FRANCIS LEWIS BOULEVARD,7,1,3,6.0,5.0,6,1.0,0.8333333333333334,379,1095,0
41195033,20.0,14.0,2013-04-10,2016-03-28,2015-04-22,11373,QUEENS,Japanese,9015 QUEENS BOULEVARD,10,2,1,18.0,13.0,9,2.0,1.4444444444444444,341,1083,1
41195053,20.0,17.0,2013-12-24,2016-09-15,2016-08-10,11418,QUEENS,Seafood,8802 VAN WYCK EXPRESSWAY,13,2,1,18.0,16.0,12,1.5,1.3333333333333333,36,996,1
41195346,13.0,9.0,2014-04-15,2017-01-10,2016-06-13,10035,MANHATTAN,Indian,2179 3 AVENUE,8,1,1,12.0,8.0,7,1.7142857142857142,1.1428571428571428,211,1001,0
41195691,11.0,5.0,2014-05-31,2017-02-15,2017-01-23,10462,BRONX,Italian,1913 BRONXDALE AVENUE,6,2,1,9.0,4.0,5,1.8,0.8,23,991,1
41195733,11.0,5.0,2014-06-05,2017-04-04,2017-03-01,10001,MANHATTAN,American,230 FIFTH AVENUE,7,2,2,9.0,3.0,6,1.5,0.5,34,1034,1
41195747,18.0,4.0,2013-09-11,2016-05-16,2015-06-26,10021,MANHATTAN,Japanese,411 EAST   70 STREET,8,2,1,16.0,3.0,7,2.2857142857142856,0.42857142857142855,325,978,1
41195795,7.0,8.0,2014-05-19,2016-10-25,2015-10-20,11207,BROOKLYN,American,2800 ATLANTIC AVENUE,5,1,2,6.0,6.0,4,1.5,1.5,371,890,0
41195945,2.0,6.0,2014-04-23,2016-04-13,2015-03-30,10033,MANHATTAN,Pizza,701 WEST  179 STREET,3,1,2,1.0,4.0,2,0.5,2.0,380,721,0
41195964,9.0,8.0,2014-10-15,2017-02-09,2016-07-06,10305,STATEN ISLAND,Sandwiches,1145 BAY STREET,6,1,1,8.0,7.0,5,1.6,1.4,218,848,0
41196158,17.0,7.0,2014-03-21,2016-11-21,2016-04-06,10009,MANHATTAN,Pizza,174 AVENUE B,9,1,2,16.0,5.0,8,2.0,0.625,229,976,0
41196536,2.0,3.0,2014-11-28,2016-12-20,2015-11-27,11224,BROOKLYN,Café/Coffee/Tea,3035 CROPSEY AVENUE,3,1,1,1.0,2.0,2,0.5,1.0,389,753,0
41196542,2.0,8.0,2014-06-05,2016-08-09,2016-02-26,10016,MANHATTAN,Café/Coffee/Tea,373 5 AVENUE,5,1,2,1.0,6.0,4,0.25,1.5,165,796,0
41196869,15.0,11.0,2014-02-04,2016-05-24,2015-09-15,11201,BROOKLYN,Pizza,214 COURT STREET,9,1,1,14.0,10.0,8,1.75,1.25,252,840,0
41197195,3.0,5.0,2013-11-23,2016-08-15,2016-02-11,11360,QUEENS,American,21101 26 AVENUE,5,1,1,2.0,4.0,4,0.5,1.0,186,996,0
41197199,2.0,6.0,2013-07-20,2016-05-10,2014-12-30,10024,MANHATTAN,American,2310 BROADWAY,5,1,1,1.0,5.0,4,0.25,1.25,497,1025,0
41197215,6.0,5.0,2014-02-20,2016-09-13,2015-08-26,10023,MANHATTAN,American,1992 BROADWAY,5,1,2,5.0,3.0,4,1.25,0.75,384,936,0
41197352,1.0,4.0,2014-03-27,2016-04-14,2015-03-10,11218,BROOKLYN,Mexican,59 CHURCH AVENUE,3,1,2,0.0,2.0,2,0.0,1.0,401,749,0
41197457,2.0,5.0,2013-08-05,2016-05-17,2015-06-22,10471,BRONX,American,6301 RIVERDALE AVENUE,4,1,2,1.0,3.0,3,0.3333333333333333,1.0,330,1016,0
41197487,1.0,3.0,2014-01-21,2016-03-04,2015-01-09,10019,MANHATTAN,American,300 WEST   57 STREET,3,1,1,0.0,2.0,2,0.0,1.0,420,773,0
41197540,6.0,10.0,2014-05-22,2017-03-27,2017-03-02,11204,BROOKLYN,Mediterranean,2283 65 STREET,6,1,2,5.0,8.0,5,1.0,1.6,25,1040,0
41197747,17.0,17.0,2014-06-04,2017-01-19,2015-12-09,10304,STATEN ISLAND,American,117 WATER STREET,9,1,1,16.0,16.0,8,2.0,2.0,407,960,0
41197758,44.0,22.0,2014-07-24,2017-03-30,2016-10-13,11354,QUEENS,Vietnamese/Cambodian/Malaysia,13531 40 ROAD,13,1,1,43.0,21.0,12,3.5833333333333335,1.75,168,980,0
41197896,20.0,15.0,2013-07-02,2016-06-07,2015-09-17,10019,MANHATTAN,Italian,234 WEST 56 STREET,9,1,1,19.0,14.0,8,2.375,1.75,264,1071,0
41198317,11.0,11.0,2013-07-10,2016-03-22,2015-09-16,10022,MANHATTAN,Salads,165 EAST   52 STREET,8,1,2,10.0,9.0,7,1.4285714285714286,1.2857142857142858,188,986,0
41198338,17.0,12.0,2014-01-28,2017-01-24,2016-11-01,10009,MANHATTAN,American,157 AVENUE C,9,2,1,15.0,11.0,8,1.875,1.375,84,1092,1
41198352,4.0,4.0,2013-12-18,2016-04-18,2014-12-24,10301,STATEN ISLAND,Mexican,75 VICTORY BOULEVARD,3,1,2,3.0,2.0,2,1.5,1.0,481,852,0
41198475,15.0,9.0,2014-05-06,2017-01-26,2016-07-18,11234,BROOKLYN,Chinese,6606 AVENUE U,8,1,1,14.0,8.0,7,2.0,1.1428571428571428,192,996,0
41198518,4.0,7.0,2014-07-26,2017-04-08,2017-02-10,10002,MANHATTAN,American,131 CHRYSTIE STREET,6,1,1,3.0,6.0,5,0.6,1.2,57,987,0
41198981,21.0,10.0,2014-04-18,2017-03-27,2017-03-08,11102,QUEENS,Mexican,3011 30 AVENUE,11,2,3,19.0,7.0,10,1.9,0.7,19,1074,1
41198990,15.0,11.0,2013-10-24,2016-07-21,2015-11-04,10471,BRONX,American,6301 RIVERDALE AVENUE,8,1,2,14.0,9.0,7,2.0,1.2857142857142858,260,1001,0
41199139,7.0,9.0,2014-08-11,2017-03-08,2016-02-19,10017,MANHATTAN,Café/Coffee/Tea,141 EAST   44 STREET,5,1,3,6.0,6.0,4,1.5,1.5,383,940,0
41199241,27.0,9.0,2013-11-26,2016-06-28,2016-06-13,11223,BROOKLYN,Mexican,214 HIGHLAWN AVENUE,10,2,1,25.0,8.0,9,2.7777777777777777,0.8888888888888888,15,945,1
41199482,6.0,9.0,2014-05-15,2017-01-07,2016-12-09,11217,BROOKLYN,American,65 4 AVENUE,6,1,2,5.0,7.0,5,1.0,1.4,29,968,0
41199571,9.0,14.0,2014-04-29,2017-04-04,2016-08-30,10002,MANHATTAN,American,14 ORCHARD STREET,7,2,3,7.0,11.0,6,1.1666666666666667,1.8333333333333333,217,1071,1
41199657,4.0,4.0,2013-06-20,2016-05-19,2015-05-19,10019,MANHATTAN,American,712 5 AVENUE,4,1,1,3.0,3.0,3,1.0,1.0,366,1064,0
41199771,14.0,13.0,2014-05-24,2017-03-23,2016-01-17,11356,QUEENS,American,1425 COLLEGE POINT BOULEVARD,8,1,2,13.0,11.0,7,1.8571428571428572,1.5714285714285714,431,1034,0
41199993,6.0,6.0,2014-01-15,2016-08-16,2015-11-06,10455,BRONX,American,857 EAST  149 STREET,6,2,1,4.0,5.0,5,0.8,1.0,284,944,1
41200236,24.0,13.0,2013-12-23,2016-06-27,2015-12-21,10003,MANHATTAN,Chilean,64 3 AVENUE,11,2,1,22.0,12.0,10,2.2,1.2,189,917,1
41200490,13.0,13.0,2013-05-30,2016-05-13,2015-02-27,10036,MANHATTAN,American,401 WEST   48 STREET,8,2,2,11.0,11.0,7,1.5714285714285714,1.5714285714285714,441,1079,1
41200526,34.0,18.0,2013-04-09,2016-01-22,2015-08-13,10001,MANHATTAN,Korean,37 WEST   32 STREET,15,1,1,33.0,17.0,14,2.357142857142857,1.2142857142857142,162,1018,0
41200687,13.0,10.0,2014-06-05,2017-03-02,2016-07-26,10306,STATEN ISLAND,Chicken,2211 HYLAN BOULEVARD,9,1,1,12.0,9.0,8,1.5,1.125,219,1001,0
41200749,8.0,6.0,2014-02-04,2016-12-07,2016-03-31,10465,BRONX,American,3714 EAST TREMONT AVENUE,5,1,2,7.0,4.0,4,1.75,1.0,251,1037,0
41200846,6.0,1.0,2013-06-12,2016-06-09,2015-01-02,11231,BROOKLYN,Pizza,575 HENRY STREET,4,1,1,5.0,0.0,3,1.6666666666666667,0.0,524,1093,0
41200936,8.0,5.0,2013-10-08,2016-03-04,2015-06-22,11220,BROOKLYN,American,6817 5 AVENUE,6,1,1,7.0,4.0,5,1.4,0.8,256,878,0
41201118,5.0,9.0,2013-06-12,2016-06-07,2016-05-11,10305,STATEN ISLAND,"Ice Cream, Gelato, Yogurt, Ices",1448 HYLAN BOULEVARD,5,1,3,4.0,6.0,4,1.0,1.5,27,1091,0
41201169,23.0,6.0,2014-08-05,2017-03-21,2016-07-07,10039,MANHATTAN,Chinese,2825 8 AVENUE,9,1,1,22.0,5.0,8,2.75,0.625,257,959,0
41201205,18.0,8.0,2014-05-13,2017-03-27,2016-03-04,10001,MANHATTAN,Pizza,408 8 AVENUE,10,5,1,13.0,7.0,9,1.4444444444444444,0.7777777777777778,388,1049,1
41201799,13.0,9.0,2014-03-11,2017-03-10,2016-08-26,10020,MANHATTAN,Mexican,1221 6 AVENUE,10,1,1,12.0,8.0,9,1.3333333333333333,0.8888888888888888,196,1095,0
41201884,7.0,11.0,2014-02-20,2016-05-17,2015-02-25,10003,MANHATTAN,Asian,207 2 AVENUE,6,1,3,6.0,8.0,5,1.2,1.6,447,817,0
41201903,13.0,5.0,2014-02-19,2017-01-26,2016-10-18,11379,QUEENS,Chinese,8216 63 AVENUE,9,2,1,11.0,4.0,8,1.375,0.5,100,1072,1
41202176,15.0,12.0,2014-01-17,2016-11-07,2016-09-22,10019,MANHATTAN,American,110 WEST   51 STREET,9,1,1,14.0,11.0,8,1.75,1.375,46,1025,0
41202218,4.0,3.0,2013-09-25,2016-05-28,2015-04-04,11434,QUEENS,Caribbean,12619 MERRICK BOULEVARD,5,1,1,3.0,2.0,4,0.75,0.5,420,976,0
41202221,9.0,8.0,2013-06-14,2016-04-04,2015-04-17,10021,MANHATTAN,Café/Coffee/Tea,1316 1 AVENUE,7,1,1,8.0,7.0,6,1.3333333333333333,1.1666666666666667,353,1025,0
41202349,13.0,9.0,2014-03-04,2017-01-20,2015-12-29,11201,BROOKLYN,American,114 MONTAGUE ST,7,2,1,11.0,8.0,6,1.8333333333333333,1.3333333333333333,388,1053,1
41202545,18.0,17.0,2014-01-28,2016-08-08,2016-03-04,11354,QUEENS,Bakery,13520 ROOSEVELT AVE,11,1,1,17.0,16.0,10,1.7,1.6,157,923,0
41202725,5.0,4.0,2013-09-26,2016-08-30,2015-08-19,11372,QUEENS,Donuts,7520 37 AVENUE,4,2,1,3.0,3.0,3,1.0,1.0,377,1069,1
41202797,12.0,6.0,2014-07-30,2016-09-14,2015-08-11,10002,MANHATTAN,American,6668 RIVINGTON STREET,6,2,1,10.0,5.0,5,2.0,1.0,400,777,1
41203218,3.0,4.0,2014-12-02,2017-03-28,2015-12-09,10305,STATEN ISLAND,Italian,138142 FINGERBOARD ROAD,3,1,1,2.0,3.0,2,1.0,1.5,475,847,0
41203328,9.0,6.0,2013-12-26,2016-10-11,2015-10-29,11357,QUEENS,American,1423 150 STREET,7,1,1,8.0,5.0,6,1.3333333333333333,0.8333333333333334,348,1020,0
41203533,52.0,17.0,2014-03-24,2017-03-09,2016-09-15,10038,MANHATTAN,Bakery,3335 CATHERINE STREET,15,3,1,49.0,16.0,14,3.5,1.1428571428571428,175,1081,1
41204031,13.0,8.0,2013-09-11,2016-07-26,2016-02-02,10021,MANHATTAN,Mediterranean,1417 2 AVENUE,8,1,2,12.0,6.0,7,1.7142857142857142,0.8571428571428571,175,1049,0
41204246,11.0,5.0,2013-04-09,2016-03-07,2015-02-26,10459,BRONX,Bakery,929 PROSPECT AVENUE,7,1,1,10.0,4.0,6,1.6666666666666667,0.6666666666666666,375,1063,0
41204340,25.0,14.0,2013-05-09,2016-04-11,2015-05-05,10456,BRONX,Pizza,1113 GRANT AVENUE,13,1,2,24.0,12.0,12,2.0,1.0,342,1068,0
41204470,16.0,7.0,2013-12-23,2016-09-29,2016-03-01,10010,MANHATTAN,Irish,393 2 AVENUE,8,1,1,15.0,6.0,7,2.142857142857143,0.8571428571428571,212,1011,0
41204498,7.0,3.0,2014-03-08,2016-09-20,2015-01-17,11363,QUEENS,Pizza/Italian,4417 DOUGLASTON PARKWAY,4,1,1,6.0,2.0,3,2.0,0.6666666666666666,612,927,0
41204508,6.0,3.0,2014-08-27,2016-09-20,2016-09-12,10014,MANHATTAN,French,284 WEST   12 STREET,4,2,2,4.0,1.0,3,1.3333333333333333,0.3333333333333333,8,755,1
41204680,15.0,9.0,2013-10-16,2016-06-20,2015-09-29,11358,QUEENS,Japanese,3250 FRANCIS LEWIS BOULEVARD,9,1,2,14.0,7.0,8,1.75,0.875,265,978,0
41204684,19.0,13.0,2014-03-01,2016-10-07,2016-09-09,11214,BROOKLYN,Steak,2402 86 STREET,11,3,2,16.0,11.0,10,1.6,1.1,28,951,1
41204715,13.0,9.0,2014-03-25,2016-06-01,2015-07-09,10457,BRONX,Hamburgers,4040 3 AVENUE,8,1,1,12.0,8.0,7,1.7142857142857142,1.1428571428571428,328,799,0
41204887,9.0,6.0,2014-07-09,2017-01-17,2015-12-02,10475,BRONX,Caribbean,691 CO-OP CITY BOULEVARD,5,2,1,7.0,5.0,4,1.75,1.25,412,923,1
41204905,8.0,4.0,2014-08-29,2016-10-28,2016-09-19,10022,MANHATTAN,American,145 EAST 50 STREET,4,4,2,4.0,2.0,3,1.3333333333333333,0.6666666666666666,39,791,1
41204942,15.0,12.0,2014-02-05,2017-01-03,2016-10-11,10003,MANHATTAN,Italian,80 2 AVENUE,7,1,1,14.0,11.0,6,2.3333333333333335,1.8333333333333333,84,1063,0
41204966,4.0,3.0,2014-08-14,2017-03-29,2016-01-12,10021,MANHATTAN,American,240 EAST   75 STREET,3,1,1,3.0,2.0,2,1.5,1.0,442,958,0
41205254,8.0,11.0,2014-03-07,2016-10-26,2016-09-19,10456,BRONX,Donuts,1167 WEBSTER AVENUE,6,2,2,6.0,9.0,5,1.2,1.8,37,964,1
41205293,4.0,2.0,2014-03-20,2016-03-16,2015-03-02,11354,QUEENS,Bakery,136-29 ROOSEVELT AVENUE,3,1,1,3.0,1.0,2,1.5,0.5,380,727,0
41205305,6.0,4.0,2014-05-09,2016-05-16,2015-03-31,10010,MANHATTAN,American,2 LEXINGTON AVENUE,4,1,1,5.0,3.0,3,1.6666666666666667,1.0,412,738,0
41205309,22.0,15.0,2013-10-10,2016-04-21,2015-04-14,10019,MANHATTAN,Italian,244 WEST   56 STREET,8,1,3,21.0,12.0,7,3.0,1.7142857142857142,373,924,0
41205634,14.0,8.0,2014-06-17,2017-03-22,2017-02-23,11210,BROOKLYN,Jewish/Kosher,2818 AVENUE K,7,1,2,13.0,6.0,6,2.1666666666666665,1.0,27,1009,0
