,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus
40363630,16.0,7.0,2013-02-21,2015-12-10,2015-06-15,10028,MANHATTAN,Continental,1418 THIRD AVENUE,8,2,1,14.0,6.0,7,2.0,0.8571428571428571,178,1022,1
40363644,3.0,13.0,2014-08-05,2017-03-30,2017-03-06,10016,MANHATTAN,Pizza,464 3 AVENUE,6,1,2,2.0,11.0,5,0.4,2.2,24,968,0
40363685,2.0,7.0,2013-06-07,2016-05-02,2015-05-12,10022,MANHATTAN,American,437 MADISON AVENUE,4,1,1,1.0,6.0,3,0.3333333333333333,2.0,356,1060,0
40363834,6.0,4.0,2014-04-24,2016-12-22,2016-06-07,10305,STATEN ISLAND,"Ice Cream, Gelato, Yogurt, Ices",1111 HYLAN BOULEVARD,5,1,1,5.0,3.0,4,1.25,0.75,198,973,0
40363920,5.0,6.0,2014-04-23,2016-10-19,2015-10-10,11212,BROOKLYN,Chinese,976 RUTLAND ROAD,5,1,1,4.0,5.0,4,1.0,1.25,375,910,0
40363945,15.0,14.0,2014-04-11,2017-03-02,2017-02-03,10023,MANHATTAN,Pizza,148 WEST   72 STREET,9,1,2,14.0,12.0,8,1.75,1.5,27,1056,0
40364149,7.0,4.0,2015-06-11,2016-12-28,2016-06-14,10001,MANHATTAN,Bagels/Pretzels,0 34 STREET,4,1,1,6.0,3.0,3,2.0,1.0,197,566,0
40364179,19.0,16.0,2014-02-26,2016-12-07,2016-10-15,10025,MANHATTAN,Soul Food,364 WEST  110 STREET,11,2,3,17.0,13.0,10,1.7,1.3,53,1015,1
40364220,10.0,9.0,2013-12-05,2016-10-20,2015-10-15,11230,BROOKLYN,Jewish/Kosher,1423 AVENUE J,7,1,1,9.0,8.0,6,1.5,1.3333333333333333,371,1050,0
40364286,10.0,5.0,2014-10-27,2016-11-15,2016-05-31,10306,STATEN ISLAND,Bagels/Pretzels,73 NEW DORP PLAZA,6,1,2,9.0,3.0,5,1.8,0.6,168,750,0
40364296,2.0,3.0,2015-02-12,2017-04-04,2016-02-17,10458,BRONX,Chinese,277 EAST KINGSBRIDGE ROAD,3,2,2,0.0,1.0,2,0.0,0.5,412,782,1
40364299,14.0,18.0,2014-02-25,2016-05-19,2015-06-10,10308,STATEN ISLAND,Delicatessen,203 GIFFORDS LANE,8,2,4,12.0,14.0,7,1.7142857142857142,2.0,344,814,1
40364305,6.0,4.0,2013-05-16,2016-03-10,2015-02-20,11209,BROOKLYN,Italian,10004 4 AVENUE,5,1,2,5.0,2.0,4,1.25,0.5,384,1029,0
40364335,10.0,10.0,2014-03-08,2016-12-12,2016-10-25,11211,BROOKLYN,Steak,178 BROADWAY,6,1,2,9.0,8.0,5,1.8,1.6,48,1010,0
40364347,16.0,15.0,2014-04-07,2017-03-06,2016-08-01,10022,MANHATTAN,American,1 EAST   60 STREET,11,2,1,14.0,14.0,10,1.4,1.4,217,1064,1
40364362,12.0,14.0,2014-04-15,2017-01-28,2016-11-18,10019,MANHATTAN,American,21 WEST   52 STREET,7,2,2,10.0,12.0,6,1.6666666666666667,2.0,71,1019,1
40364363,7.0,4.0,2013-07-13,2016-06-25,2015-06-06,10465,BRONX,American,658 CLARENCE AVE,4,2,1,5.0,3.0,3,1.6666666666666667,1.0,385,1078,1
40364373,3.0,5.0,2014-02-24,2017-01-25,2015-11-16,10065,MANHATTAN,Italian,1028 3 AVENUE,4,1,2,2.0,3.0,3,0.6666666666666666,1.0,436,1066,0
40364389,10.0,9.0,2014-10-08,2016-10-11,2016-04-11,10003,MANHATTAN,American,45 EAST   18 STREET,6,1,1,9.0,8.0,5,1.8,1.6,183,734,0
40364439,13.0,9.0,2014-05-02,2016-11-15,2016-10-12,10014,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",62 CHARLES STREET,6,2,1,11.0,8.0,5,2.2,1.6,34,928,1
40364443,8.0,10.0,2015-02-12,2017-03-20,2016-08-31,10013,MANHATTAN,American,100 CENTRE STREET,6,2,2,6.0,8.0,5,1.2,1.6,201,767,1
40364449,10.0,7.0,2014-03-15,2016-07-27,2015-10-22,11385,QUEENS,German,657 FAIRVIEW AVENUE,6,1,1,9.0,6.0,5,1.8,1.2,279,865,0
40364467,16.0,7.0,2014-07-22,2017-03-13,2017-02-13,10019,MANHATTAN,American,180 CENTRAL PARK SOUTH,6,1,1,15.0,6.0,5,3.0,1.2,28,965,0
40364518,12.0,7.0,2013-11-27,2016-05-31,2015-02-25,10009,MANHATTAN,American,108 AVENUE B,6,1,1,11.0,6.0,5,2.2,1.2,461,916,0
40364529,14.0,11.0,2015-03-02,2017-04-06,2017-03-20,11374,QUEENS,Jewish/Kosher,9640 QUEENS BOULEVARD,7,2,4,12.0,7.0,6,2.0,1.1666666666666667,17,766,1
40364531,11.0,12.0,2013-12-30,2016-11-25,2016-10-17,10019,MANHATTAN,American,215 WEST   57 STREET,9,1,1,10.0,11.0,8,1.25,1.375,39,1061,0
40364572,4.0,2.0,2014-03-26,2016-03-22,2015-03-10,10065,MANHATTAN,Steak,845 LEXINGTON AVENUE,3,1,1,3.0,1.0,2,1.5,0.5,378,727,0
