,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,address2,latitude,longitude
40393044,12.0,7.0,2014-02-05,2016-11-15,2016-10-19,10065,MANHATTAN,Italian,201 EAST   61 STREET,7,1,1,11.0,6.0,6,1.83333333333,1.0,27,1014,0,"201 EAST   61 STREET, NY",,
40393093,19.0,12.0,2013-07-11,2016-06-02,2015-08-06,11435,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9215 149 STREET,11,2,1,17.0,11.0,10,1.7,1.1,301,1057,1,"9215 149 STREET, NY",,
40393570,8.0,7.0,2014-05-07,2016-08-30,2016-03-08,10019,MANHATTAN,Italian,142 WEST   49 STREET,6,1,2,7.0,5.0,5,1.4,1.0,175,846,0,"142 WEST   49 STREET, NY",,
40393688,30.0,15.0,2014-04-10,2017-02-27,2017-02-07,10451,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",101 EAST  161 STREET,11,2,4,28.0,11.0,10,2.8,1.1,20,1054,1,"101 EAST  161 STREET, NY",,
40393712,7.0,8.0,2014-04-15,2016-04-30,2015-05-26,10003,MANHATTAN,Japanese,216 EAST   10 STREET,4,2,4,5.0,4.0,3,1.66666666667,1.33333333333,340,746,1,"216 EAST   10 STREET, NY",,
40393742,15.0,13.0,2014-08-08,2017-02-03,2016-07-20,10027,MANHATTAN,Chicken,321 WEST  125 STREET,9,1,1,14.0,12.0,8,1.75,1.5,198,910,0,"321 WEST  125 STREET, NY",,
40393761,7.0,8.0,2014-02-06,2016-11-09,2015-10-27,10022,MANHATTAN,Italian,18 EAST   54 STREET,5,1,1,6.0,7.0,4,1.5,1.75,379,1007,0,"18 EAST   54 STREET, NY",,
40393772,10.0,4.0,2013-09-19,2016-03-29,2015-05-26,10003,MANHATTAN,Asian,430 LAFAYETTE STREET,6,2,1,8.0,3.0,5,1.6,0.6,308,922,1,"430 LAFAYETTE STREET, NY",40.72928,-73.9924534
40393832,6.0,11.0,2013-04-17,2016-03-31,2015-03-23,11378,QUEENS,American,5373 65 PLACE,6,1,3,5.0,8.0,5,1.0,1.6,374,1079,0,"5373 65 PLACE, NY",,
40393855,22.0,18.0,2013-05-17,2016-05-11,2015-11-12,10017,MANHATTAN,Irish,692 3 AVENUE,11,1,2,21.0,16.0,10,2.1,1.6,181,1090,0,"692 3 AVENUE, NY",40.5891343333,-73.9626393333
40394066,9.0,6.0,2013-10-18,2016-10-17,2015-09-15,10019,MANHATTAN,Indian,148 WEST   49 STREET,7,1,1,8.0,5.0,6,1.33333333333,0.833333333333,398,1095,0,"148 WEST   49 STREET, NY",,
40394110,3.0,2.0,2014-11-06,2017-01-04,2015-11-17,11103,QUEENS,Irish,3814 BROADWAY,3,1,2,2.0,0.0,2,1.0,0.0,414,790,0,"3814 BROADWAY, NY",40.7935938,-73.9727055
