,search_info,google_name,rating
41098989,"mcdonald's 3509 WEBSTER AVENUE, NY",mcdonald's,3.4
41098999,"mcdonald's 1212 EAST GUNHILL ROAD, NY",mcdonald's,3.1
41099225,"golden pastry shop 1 CORSON AVENUE, NY",golden pastry shop,4
41099430,"brothers ravioli 16116 CROSSBAY BOULEVARD, NY",brothers ravioli,4.6
41099497,"kaieteur express restaurant 12004 LIBERTY AVENUE, NY",kaieteur liberty,3.7
41099763,"kiraku sushi japanese restaurant 1948 WILLIAMSBRIDGE ROAD, NY",kiraku,4.6
41099862,"estrellita poblana iii 2328 ARTHUR AVENUE, NY",estrellita poblana iii,3.9
41100003,"starbucks 3 PARK AVENUE, NY",starbucks,3.7
41100006,"plaka restaurant 406 86 STREET, NY",plaka restaurant,4.4
41100265,"rogner cafe & lounge 6359 FOREST AVENUE, NY",rogner cafe & lounge,4.4
41100350,"employee's only 510 HUDSON STREET, NY",employees only,4.2
41100403,"san marco pizzeria 577 LORIMER STREET, NY",san marco pizzeria,4.6
41100434,"himalayan yak restaurant 7220 ROOSEVELT AVENUE, NY",himalayan yak,4.2
41100544,"cafe 101(coffee stand) 450 CLARKSON AVENUE, NY",gabby's coffee shop & restaurant,4.7
41100597,"craftbar 900 BROADWAY, NY",craftbar,4
41100740,"bin 71 237 COLUMBUS AVENUE, NY",bin 71,3.8
41100858,"flo 3720 30 AVENUE, NY",flo lounge restaurant,4.1
41100958,"creperie 135 LUDLOW STREET, NY",creperie,4.4
41100993,"wichcraft 641 WEST   27 STREET, NY",'wichcraft,4
41101050,"bar americain 152 WEST   52 STREET, NY",bar americain,4.1
41101595,"angelo's pizza 1697 BROADWAY, NY",angelo's pizza,3.9
41101600,"emphasis 6820 4 AVENUE, NY",emphasis,3.5
41101663,"el valle restaurant 1000 WESTCHESTER AVENUE, NY",el valle restaurant,3.2
41101851,"biriyani house 4345 43 STREET, NY",biriyani house,3.6
41101900,"starbucks 875 6 AVENUE, NY",starbucks,3.6
41101925,"t.g.i. friday's 280 MARSH AVENUE, NY",tgi fridays,3.2
41102075,"mymoon 184 N   10 ST, NY",mymoon,4
41102190,"amici bakery 758 ARTHUR KILL ROAD, NY",amici bakery,4.2
41102723,"camaje 85 MACDOUGAL STREET, NY",camaje bistro,3.6
41102912,"tender trap 68 GREENPOINT AVENUE, NY",tender trap,4.3
41102997,"taj ii 48 WEST   21 STREET, NY",taj ii,3.3
41103052,"mingles 13018 101 AVENUE, NY",mingle 1,2.9
41103208,"papillon bistro & bar 22 EAST   54 STREET, NY",papillon bistro & bar,3.9
41103419,"mercado's cuisine 1759 LEXINGTON AVENUE, NY",mercado cocina,3
41103795,"new york university - college of dentistry 345 EAST   24 STREET, NY",nyu college of dentistry,3.2
41103814,"fig & olive 808 LEXINGTON AVENUE, NY",fig,4.4
41103981,"grand cafe/ fresh organic 3701 30 AVENUE, NY",SEARCH FAILURE,
41104041,"the sparrow tavern 2401 29 STREET, NY",the sparrow tavern,4.4
41104417,"helen mills event space and theater 135 WEST   26 STREET, NY",helen mills event space and theater,4.8
41104540,"burger king 327 WEST   42 STREET, NY",burger king,3.2
41104596,"stadium pizza bar restaurant 113115 EAST  157 STREET, NY",stadium sports bar & restaurant,3.7
41104783,"budepest cafe 1631 2 AVENUE, NY",budapest cafe,4.3
41104863,"gym sports bar 167 8 AVENUE, NY",gym sportsbar,4.1
41104875,"bella vita pizzeria 211 WEST   43 STREET, NY",bella vita pizzeria & trattoria,3.8
41105041,"yu king bakery 2335 86 STREET, NY",yu king bakery inc,4.5
41105180,"indian tanpura 564 AMSTERDAM AVENUE, NY",indian tanpura,4.2
41105271,"dunkin' donuts 203 AVENUE U, NY",dunkin' donuts,4.1
41105288,"dunkin' donuts 1510 ELM AVENUE, NY",dunkin' donuts,3.3
41105300,"dunkin' donuts, baskin robbins 1710 EASTERN PARKWAY, NY",dunkin' donuts,3.7
41105399,"crown fried chicken 343 EAST  194 STREET, NY",SEARCH FAILURE,
41105415,"golden krust caribbean bakery & grill 1364 PENNSYLVANIA AVENUE, NY",golden krust caribben bakery & grill,4.3
41105497,"trattoria lucia 24763 JAMAICA AVENUE, NY",trattoria lucia,4.4
41105572,"kabu bar & lounge 8509 NORTHERN BOULEVARD, NY",kabu bar lounge,3.9
41105644,"cake shop 152 LUDLOW STREET, NY",cake shop nyc,4.3
41105757,"el barrio restaurant 158 EAST  116 STREET, NY",SEARCH FAILURE,
41105879,"blt prime 111 EAST   22 STREET, NY",blt prime,4.4
41105947,"adobe blues 63 LAFAYETTE AVENUE, NY",adobe blues,4.3
41106233,"rosa mexicano 9 EAST   18 STREET, NY",rosa mexicano,4.3
41106252,"masala 3926 61 STREET, NY",masala,4.2
41106262,"tazza 311 HENRY STREET, NY",tazza,3.8
41106321,"barzola's restaurant iii 9212 37 AVENUE, NY",barzola,3.7
41106459,"dunkin' donuts 1776 FOREST AVENUE, NY",dunkin' donuts,3.5
41106644,"starbucks 593 9 AVENUE, NY",starbucks,3.3
41106672,"bogota latin bistro 141 5 AVENUE, NY",bogota latin bistro,4.3
41106681,"starbucks 33 HILLEL PLACE, NY",starbucks,3.9
41107259,"bantry bay publick house 3301 GREENPOINT AVENUE, NY",bantry bay publick house,4.6
41107325,"buenos aires tango 11108 QUEENS BOULEVARD, NY",buenos aires tango,3.3
41107373,"big ny fried chicken 4035 21 STREET, NY",SEARCH FAILURE,
41107447,"dunkin' donuts, baskin robbins 448 5 AVENUE, NY",dunkin' donuts,4
41107780,"los rancheros 16210 JAMAICA AVENUE, NY",SEARCH FAILURE,
41107847,"brooklyn national deli 0 JFK AIRPORT, NY",SEARCH FAILURE,
41108006,"pearl garden chinese restaurant 14508 14 AVENUE, NY",pearl garden,4.8
41108012,"silver spoon restaurant 20712 HOLLIS AVENUE, NY",silver spoon restaurant,4.3
