,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,3-day temp,3-day humidity,crit_vs_sec_last_insp,prior_2p_crit_insps,rating,rating_null,rating_null_zip,food_poisoning_complaints,food_establishment_complaints,electric_complaints,safety_complaints,rodent_complaints,dirty_conditions_complaints,general_complaints,missed_collection_complaints,police_matter_complaints,liq_license,side_license,target,prediction,true_positive,true_negative,false_positive,false_negative,latitude,longitude
41028791,1.0,5.0,2014-02-10,2017-01-30,2016-01-27,10011,MANHATTAN,Café/Coffee/Tea,300 WEST   23 STREET,4,1,2,0.0,3.0,3,0.0,1.0,369,1085,0,36.66666667,47.0,1,0,3.7,0,0,10,35,49,11,94.0,70.0,59.0,37.0,9,True,False,0,0,False,True,False,False,40.7452401,-73.99894640000002
41028918,4.0,3.0,2014-04-08,2017-03-30,2016-03-25,10110,MANHATTAN,"Juice, Smoothies, Fruit Salads",500 5 AVENUE,4,1,1,3.0,2.0,3,1.0,0.666666666667,370,1087,0,46.66666667,66.66666667,2,1,3.6,0,0,3,3,8,5,15.0,39.0,5.0,17.0,3,False,False,0,0,False,True,False,False,40.5886056923,-73.9674693077
41029591,10.0,10.0,2014-02-19,2017-01-25,2016-05-06,11215,BROOKLYN,American,262 9 STREET,6,1,2,9.0,8.0,5,1.8,1.6,264,1071,0,42.0,77.0,0,3,4.187625418060201,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,False,0,0,False,True,False,False,41.132447430300004,-72.3553633812
41029952,15.0,12.0,2014-05-15,2016-11-16,2016-05-20,11242,BROOKLYN,Delicatessen,26 COURT STREET,8,1,1,14.0,11.0,7,2.0,1.57142857143,180,916,0,53.66666667,62.0,1,4,4.3,0,0,7,19,7,0,24.0,11.0,7.0,14.0,4,True,False,0,1,False,False,True,False,40.6933375,-73.99085720000002
41030615,7.0,6.0,2013-09-24,2016-03-18,2015-03-06,10019,MANHATTAN,Italian,210 WEST   55 STREET,5,2,2,5.0,4.0,4,1.25,1.0,378,906,1,53.66666667,53.33333333,2,2,3.5,0,0,20,30,19,3,21.0,31.0,35.0,7.0,14,True,True,1,1,True,False,False,False,40.7644231,-73.9819603
41031832,3.0,4.0,2014-05-02,2017-03-16,2016-01-07,10013,MANHATTAN,French,25 NORTH MOORE STREET,4,1,1,2.0,3.0,3,0.666666666667,1.0,434,1049,0,29.66666667,67.33333333,2,1,4.3,0,0,4,24,0,0,27.0,35.0,0.0,23.0,3,True,True,0,1,False,False,True,False,40.7199472,-74.00721290000001
41032639,18.0,5.0,2014-01-23,2016-10-26,2016-09-20,10314,STATEN ISLAND,American,4085 VICTORY BOULEVARD,9,1,1,17.0,4.0,8,2.125,0.5,36,1007,0,50.0,51.66666667,2,6,3.5,0,0,0,0,0,1,0.0,5.0,0.0,9.0,4,False,False,0,1,False,False,True,False,40.5922643,-74.1900191328
41032752,10.0,5.0,2014-05-31,2016-07-12,2016-04-20,10016,MANHATTAN,Korean,1517 EAST   32 STREET,5,2,1,8.0,4.0,4,2.0,1.0,83,773,1,73.66666667,66.33333333,2,2,4.3,0,0,0,2,2,0,6.0,22.0,3.0,24.0,4,False,False,1,1,True,False,False,False,40.615787,-73.9427583
41033197,4.0,5.0,2014-04-16,2016-03-16,2015-01-16,10314,STATEN ISLAND,Hamburgers,141 EAST SERVICE ROAD,4,1,2,3.0,3.0,3,1.0,1.0,425,700,0,49.33333333,80.0,0,1,3.2,0,0,0,1,0,0,2.0,8.0,0.0,7.0,0,False,False,0,0,False,True,False,False,40.5515393,-74.21697979999998
41033313,6.0,6.0,2014-05-21,2017-03-21,2016-08-31,10014,MANHATTAN,American,59 CHRISTOPHER STREET,5,1,1,5.0,5.0,4,1.25,1.25,202,1035,0,46.33333333,45.0,1,1,4.3,0,0,9,52,20,1,63.0,58.0,38.0,36.0,10,True,True,0,1,False,False,True,False,40.73380895,-74.0024110958
41034277,12.0,6.0,2014-08-14,2016-12-14,2016-11-21,10021,MANHATTAN,Irish,1303 3 AVENUE,7,2,2,10.0,4.0,6,1.66666666667,0.666666666667,23,853,1,39.0,62.33333333,2,3,4.3,0,0,0,2,5,0,20.0,48.0,2.0,8.0,4,False,False,1,1,True,False,False,False,40.5899843265,-73.95643089800001
41035324,4.0,6.0,2013-12-02,2016-04-26,2015-04-08,10028,MANHATTAN,Café/Coffee/Tea,1515 YORK AVENUE,5,1,2,3.0,4.0,4,0.75,1.0,384,876,0,57.33333333,55.33333333,1,0,4.0,0,0,7,13,25,19,88.0,36.0,44.0,19.0,9,True,True,0,0,False,True,False,False,40.7724449,-73.9499444
41036469,16.0,5.0,2014-03-05,2017-02-28,2016-02-22,10307,STATEN ISLAND,Pizza/Italian,7517 AMBOY ROAD,8,3,1,13.0,4.0,7,1.85714285714,0.5714285714289999,372,1091,1,44.66666667,53.33333333,1,5,3.9,0,0,0,0,1,0,8.0,4.0,0.0,11.0,2,True,False,1,1,True,False,False,False,40.5092527647,-74.2465034706
41036474,28.0,6.0,2014-06-16,2017-01-30,2016-12-02,10010,MANHATTAN,French,401 EAST   20 STREET,12,1,1,27.0,5.0,11,2.4545454545500003,0.454545454545,59,959,0,36.66666667,47.0,3,10,3.8,0,0,7,15,14,11,25.0,18.0,420.0,6.0,7,True,False,0,1,False,False,True,False,40.7349974,-73.97939040000001
41037850,10.0,9.0,2014-04-09,2016-07-20,2016-01-04,11415,QUEENS,Peruvian,11905 METROPOLITAN AVENUE,6,1,1,9.0,8.0,5,1.8,1.6,198,833,0,82.66666667,52.33333333,2,4,4.0,0,0,3,5,4,4,19.0,51.0,10.0,15.0,3,False,False,0,1,False,False,True,False,40.71276,-73.9022429
41038109,12.0,8.0,2014-05-13,2017-01-20,2016-10-19,10036,MANHATTAN,American,12 WEST   44 STREET,7,2,2,10.0,6.0,6,1.66666666667,1.0,93,983,1,42.33333333,80.0,2,4,3.5,0,0,15,34,0,0,7.0,7.0,1.0,1.0,36,True,False,1,1,True,False,False,False,40.7550346,-73.98110279999999
41038600,5.0,5.0,2013-11-01,2016-05-11,2015-04-20,11205,BROOKLYN,Pizza,482 MYRTLE AVENUE,5,2,1,3.0,4.0,4,0.75,1.0,387,922,1,60.33333333,46.66666667,1,0,4.3,0,0,4,9,22,5,27.0,26.0,20.0,28.0,7,True,False,1,0,False,False,False,True,40.69326955,-73.9660280372
41038749,20.0,8.0,2014-04-15,2017-02-03,2016-11-22,10018,MANHATTAN,Pizza/Italian,1435 BROADWAY,10,1,2,19.0,6.0,9,2.11111111111,0.666666666667,73,1025,0,36.33333333,48.33333333,4,7,4.3,0,0,24,45,1,0,6.0,26.0,1.0,1.0,15,True,False,0,1,False,False,True,False,40.75470505,-73.9870155866
41040475,22.0,15.0,2014-03-06,2017-01-30,2016-12-28,10010,MANHATTAN,American,272 3 AVENUE,10,1,1,21.0,14.0,9,2.33333333333,1.55555555556,33,1061,0,36.66666667,47.0,5,6,4.3,0,0,2,6,7,6,2.0,23.0,4.0,8.0,3,False,False,0,1,False,False,True,False,40.5879834033,-73.9730921105
41042427,4.0,8.0,2014-05-08,2016-11-03,2016-06-02,10003,MANHATTAN,American,181 2 AVENUE,5,1,1,3.0,7.0,4,0.75,1.75,154,910,0,58.6666666667,68.0,1,1,4.2,0,0,2,6,7,6,2.0,23.0,4.0,8.0,2,False,False,0,0,False,True,False,False,40.5879472044,-73.9734324807
41043103,6.0,4.0,2013-04-10,2016-04-06,2015-04-01,10019,MANHATTAN,American,152 WEST   51 STREET,4,1,1,5.0,3.0,3,1.66666666667,1.0,371,1092,0,37.0,53.0,1,2,4.5,0,0,14,32,17,5,9.0,12.0,32.0,5.0,8,True,False,0,0,False,True,False,False,40.7614991,-73.9826791
41043568,1.0,4.0,2014-12-16,2017-02-01,2015-12-31,10463,BRONX,American,76 WEST  225 STREET,3,1,1,0.0,3.0,2,0.0,1.5,398,778,0,36.33333333,54.33333333,0,0,3.2,0,0,0,4,30,7,7.0,12.0,14.0,1.0,2,True,False,0,0,False,True,False,False,40.8737972,-73.9090395
41044065,27.0,16.0,2014-03-25,2017-03-22,2016-08-23,11104,QUEENS,Turkish,4203 QUEENS BOULEVARD,15,1,1,26.0,15.0,14,1.85714285714,1.0714285714299998,211,1093,0,43.66666667,35.0,1,9,4.1,0,0,0,5,1,1,4.0,9.0,7.0,1.0,0,False,False,0,1,False,False,True,False,40.711536,-73.8240838
41044538,4.0,4.0,2013-05-23,2016-05-05,2015-06-03,10314,STATEN ISLAND,"Ice Cream, Gelato, Yogurt, Ices",1872 VICTORY BOULEVARD,4,1,1,3.0,3.0,3,1.0,1.0,337,1078,0,52.66666667,84.33333333,1,0,3.9547297297297286,1,0,0,1,0,0,0.0,3.0,0.0,0.0,0,False,False,0,0,False,True,False,False,40.6000612,-74.17788709999998
41046488,9.0,7.0,2014-03-03,2016-09-22,2016-04-08,10038,MANHATTAN,American,146 BEEKMAN STREET,5,2,2,7.0,5.0,4,1.75,1.25,167,934,1,78.33333333,61.66666667,1,2,4.4,0,0,1,7,0,3,36.0,7.0,3.0,3.0,2,True,True,1,0,False,False,False,True,40.70707520000001,-74.00246240000001
41046685,11.0,10.0,2013-11-25,2016-03-29,2015-03-16,10025,MANHATTAN,French,990 COLUMBUS AVENUE,8,1,1,10.0,9.0,7,1.42857142857,1.28571428571,379,855,0,49.33333333,55.0,1,2,3.9,0,0,10,14,38,15,111.0,25.0,20.0,11.0,5,True,True,0,0,False,True,False,False,40.80104710000001,-73.961822
41047105,17.0,12.0,2014-08-14,2017-02-23,2017-02-09,10016,MANHATTAN,American,546 3 AVENUE,9,2,3,15.0,9.0,8,1.875,1.125,14,924,1,48.66666667,60.33333333,2,6,3.8,0,0,3,1,7,4,16.0,39.0,3.0,20.0,2,False,False,1,1,True,False,False,False,40.5887348532,-73.9662975057
41047251,5.0,6.0,2014-07-31,2016-09-30,2016-09-15,11423,QUEENS,Bakery,20417 JAMAICA AVENUE,4,1,1,4.0,5.0,3,1.33333333333,1.66666666667,15,792,0,62.66666667,81.33333333,2,1,4.9,0,0,0,0,0,0,1.0,4.0,0.0,3.0,0,False,False,0,1,False,False,True,False,40.723242,-73.7280407
41047941,15.0,8.0,2013-12-05,2016-10-04,2015-09-24,11249,BROOKLYN,American,105 NORTH    6 STREET,8,1,1,14.0,7.0,7,2.0,1.0,376,1034,0,66.33333333,80.33333333,0,3,4.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,False,0,1,False,False,True,False,40.850264,-73.13456590000001
41048427,12.0,6.0,2013-07-27,2016-07-18,2016-02-01,10004,MANHATTAN,Mexican,2 BROADWAY,7,1,1,11.0,5.0,6,1.83333333333,0.833333333333,168,1087,0,83.33333333,64.33333333,1,2,4.0,0,0,19,29,1,0,10.0,16.0,2.0,4.0,13,True,False,0,0,False,True,False,False,40.70446735,-74.0126314808
41049375,10.0,5.0,2014-05-15,2017-01-05,2015-11-18,11211,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",492 BROADWAY,5,2,2,8.0,3.0,4,2.0,0.75,414,966,1,39.33333333,70.33333333,2,2,4.260060975609756,1,0,0,2,6,5,6.0,18.0,8.0,33.0,3,True,False,1,1,True,False,False,False,40.70563265,-73.9510047938
41049500,12.0,7.0,2014-08-11,2017-03-02,2016-02-10,11694,QUEENS,Steak,268 BEACH  116 STREET,8,1,1,11.0,6.0,7,1.57142857143,0.8571428571430001,386,934,0,52.0,73.66666667,1,3,4.4,0,0,1,7,11,3,10.0,20.0,5.0,3.0,8,True,False,0,0,False,True,False,False,40.581304,-73.8376928
41050224,20.0,8.0,2014-02-27,2016-12-02,2016-04-28,11103,QUEENS,Delicatessen,4301 31 AVENUE,8,1,1,19.0,7.0,7,2.7142857142900003,1.0,218,1009,0,52.0,67.0,2,6,3.8,0,0,4,11,7,0,17.0,21.0,2.0,19.0,5,False,False,0,1,False,False,True,False,40.586712,-73.9853309
41050362,8.0,11.0,2013-05-15,2016-04-26,2015-04-14,10036,MANHATTAN,Hamburgers,1188 6 AVE,7,2,2,6.0,9.0,6,1.0,1.5,378,1077,1,57.33333333,55.33333333,0,2,3.2,0,0,1,7,5,0,17.0,34.0,3.0,5.0,3,False,False,1,0,False,False,False,True,40.5895591633,-73.9588019184
41050965,19.0,10.0,2013-06-26,2016-06-15,2016-05-24,10014,MANHATTAN,Delicatessen,180 VARICK STREET,10,1,1,18.0,9.0,9,2.0,1.0,22,1085,0,71.33333333,46.66666667,2,5,4.0,0,0,11,19,1,3,40.0,13.0,12.0,17.0,6,True,False,0,1,False,False,True,False,40.72755460000001,-74.0052829
41051001,4.0,8.0,2014-10-29,2016-10-25,2016-05-17,10308,STATEN ISLAND,Italian,227 MANSION AVENUE,4,2,2,2.0,6.0,3,0.666666666667,2.0,161,727,1,53.33333333,52.33333333,2,1,3.9,0,0,0,0,0,0,3.0,9.0,0.0,8.0,6,True,False,1,1,True,False,False,False,40.5431935918,-74.1421357551
41051273,2.0,4.0,2013-09-27,2016-09-22,2015-09-15,10019,MANHATTAN,Sandwiches,1350 6 AVENUE,4,1,1,1.0,3.0,3,0.333333333333,1.0,373,1091,0,75.66666667,60.33333333,0,0,4.3,0,0,1,2,5,0,26.0,48.0,2.0,8.0,3,False,False,0,0,False,True,False,False,40.5898531633,-73.956109449
41053864,9.0,6.0,2013-07-24,2016-05-11,2015-05-27,10302,STATEN ISLAND,American,75 INNIS STREET,5,3,1,6.0,5.0,4,1.5,1.25,350,1022,1,58.66666667,51.0,2,2,4.6,0,0,0,0,2,2,11.0,14.0,0.0,16.0,3,True,False,1,0,False,False,False,True,40.6342085,-74.1437547381
41054662,2.0,5.0,2013-06-21,2016-05-02,2015-05-19,10016,MANHATTAN,Café/Coffee/Tea,90 PARK AVENUE,4,1,1,1.0,4.0,3,0.333333333333,1.33333333333,349,1046,0,52.33333333,68.33333333,1,0,3.5,0,0,21,42,1,1,19.0,11.0,2.0,9.0,11,True,False,0,0,False,True,False,False,40.7507393,-73.9794359279
41054695,21.0,7.0,2014-04-03,2016-08-23,2016-07-28,10031,MANHATTAN,Mexican,3424 BROADWAY,10,2,1,19.0,6.0,9,2.11111111111,0.666666666667,26,873,1,74.66666667,62.33333333,3,7,3.6,0,0,2,32,220,47,72.0,18.0,199.0,4.0,10,True,True,1,1,True,False,False,False,40.8226669,-73.952889
41056253,7.0,7.0,2014-11-12,2016-12-15,2016-06-20,11356,QUEENS,Delicatessen,12921 14 AVENUE,6,1,2,6.0,5.0,5,1.2,1.0,178,764,0,37.0,44.66666667,1,1,4.7,0,0,2,0,1,2,2.0,22.0,0.0,27.0,3,False,False,0,0,False,True,False,False,40.7859697,-73.8385027
41056355,6.0,2.0,2014-03-01,2016-09-23,2015-09-18,10031,MANHATTAN,Pizza/Italian,394 WEST  145 STREET,5,2,1,4.0,1.0,4,1.0,0.25,371,937,1,76.0,53.66666667,2,2,4.0,0,0,4,15,86,28,55.0,45.0,59.0,16.0,10,True,False,1,1,True,False,False,False,40.82404,-73.9450817
41058276,4.0,6.0,2014-06-13,2017-03-27,2016-02-04,10467,BRONX,Mexican,334 EAST GUN HILL ROAD,6,1,1,3.0,5.0,5,0.6,1.0,417,1018,0,46.0,76.33333333,0,1,3.8,0,0,1,4,63,35,76.0,23.0,60.0,6.0,5,True,False,0,0,False,True,False,False,40.8786615,-73.87324040000001
41059649,10.0,8.0,2013-05-07,2016-03-09,2015-03-03,11375,QUEENS,Greek,7017 AUSTIN STREET,8,1,2,9.0,6.0,7,1.28571428571,0.8571428571430001,372,1037,0,53.66666667,57.0,1,2,3.4,0,0,12,20,6,1,6.0,28.0,9.0,7.0,1,True,False,0,0,False,True,False,False,40.720164,-73.84478890000003
41060064,8.0,5.0,2013-04-30,2016-04-14,2015-06-11,10014,MANHATTAN,Japanese,435 HUDSON STREET,5,1,1,7.0,4.0,4,1.75,1.0,308,1080,0,52.0,55.66666667,1,2,4.181440443213295,1,0,4,14,14,2,37.0,47.0,28.0,26.0,7,True,True,0,1,False,False,True,False,40.7304521,-74.0070471
41060552,14.0,10.0,2013-12-18,2016-10-04,2016-09-08,11215,BROOKLYN,Indian,473 5 AVENUE,9,2,1,12.0,9.0,8,1.5,1.125,26,1021,1,66.33333333,80.33333333,2,4,3.1,0,0,0,2,14,8,7.0,36.0,7.0,16.0,3,False,False,1,1,True,False,False,False,40.5886645455,-73.9684214545
41060828,3.0,4.0,2013-06-14,2016-06-10,2015-05-15,10014,MANHATTAN,American,49 GROVE STREET,4,1,1,2.0,3.0,3,0.666666666667,1.0,392,1092,0,65.66666667,47.66666667,1,0,3.2,0,0,10,48,26,1,84.0,74.0,46.0,46.0,8,True,True,0,0,False,True,False,False,40.7330819,-74.0037444
41061112,27.0,12.0,2014-01-16,2017-01-12,2016-12-22,10024,MANHATTAN,Pizza,411 AMSTERDAM AVENUE,12,3,1,24.0,11.0,11,2.18181818182,1.0,21,1092,1,46.0,71.66666667,4,7,3.4,0,0,10,57,18,4,82.0,48.0,82.0,16.0,8,True,True,1,1,True,False,False,False,40.7835276,-73.9778199
41065858,24.0,15.0,2013-12-23,2016-10-31,2016-05-26,10012,MANHATTAN,Seafood,142 MERCER STREET,11,2,1,22.0,14.0,10,2.2,1.4,158,1043,1,55.3333333333,64.6666666667,1,5,4.1,0,0,10,35,0,8,29.0,55.0,3.0,37.0,17,True,False,1,1,True,False,False,False,40.7249072,-73.99823420000001
41066599,3.0,3.0,2013-09-24,2016-09-15,2015-09-14,11223,BROOKLYN,Sandwiches,2025 STILLWELL AVENUE,4,1,1,2.0,2.0,3,0.666666666667,0.666666666667,367,1087,0,74.33333333,62.0,0,0,2.8,0,0,3,4,9,1,4.0,11.0,2.0,11.0,2,True,False,0,0,False,True,False,False,40.59728755,-73.9850044093
41066771,3.0,10.0,2013-07-16,2016-06-20,2015-07-06,11220,BROOKLYN,Donuts,5702 2 AVENUE,4,1,3,2.0,7.0,3,0.666666666667,2.33333333333,350,1070,0,73.66666667,59.33333333,0,0,3.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,False,0,0,False,True,False,False,40.600834000000006,-74.14589790000002
41067502,10.0,7.0,2013-05-23,2016-04-26,2015-05-13,11385,QUEENS,Pizza/Italian,575 SENECA AVENUE,7,1,1,9.0,6.0,6,1.5,1.0,349,1069,0,56.66666667,57.66666667,1,3,4.3,0,0,3,12,41,19,64.0,149.0,30.0,13.0,5,True,False,0,0,False,True,False,False,40.70461095,-73.9104107026
41067651,12.0,12.0,2013-05-23,2016-05-05,2015-06-16,10010,MANHATTAN,American,55 WEST   21 STREET,11,1,1,11.0,11.0,10,1.1,1.1,324,1078,0,52.0,80.66666667,1,3,3.1,0,0,13,42,1,4,14.0,36.0,6.0,45.0,7,True,True,0,1,False,False,True,False,40.7415352,-73.9930069
41067996,13.0,8.0,2014-04-24,2017-03-16,2016-06-16,10471,BRONX,Pizza,5660 MOSHOLU AVENUE,8,2,1,11.0,7.0,7,1.57142857143,1.0,273,1057,1,30.0,56.66666667,2,4,4.1,0,0,2,4,0,1,3.0,6.0,10.0,14.0,2,True,False,1,0,False,False,False,True,40.905167,-73.901383
41068336,9.0,8.0,2013-06-26,2016-06-03,2015-04-17,10007,MANHATTAN,American,24 MURRAY STREET,5,3,2,6.0,6.0,4,1.5,1.5,413,1073,1,69.33333333,73.66666667,1,2,3.8,0,0,2,1,0,0,1.0,16.0,0.0,2.0,0,True,False,1,0,False,False,False,True,40.51720445,-74.2330969066
41068576,22.0,20.0,2013-08-30,2016-06-04,2015-08-12,10457,BRONX,American,1776 CLAY AVENUE,11,1,1,21.0,19.0,10,2.1,1.9,297,1009,0,70.33333333,75.0,1,7,4.0,0,0,0,1,69,27,101.0,12.0,98.0,2.0,7,False,False,0,1,False,False,True,False,40.84632720000001,-73.9045671
41068607,26.0,15.0,2013-12-02,2016-08-29,2016-08-02,10001,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",240 WEST   35 STREET,14,3,1,23.0,14.0,13,1.7692307692299998,1.07692307692,27,1001,1,82.0,54.33333333,2,8,3.5,0,0,21,40,6,1,19.0,16.0,0.0,1.0,9,True,False,1,1,True,False,False,False,40.7520873,-73.9918619
41069646,12.0,8.0,2014-04-02,2016-12-09,2016-12-07,10458,BRONX,Caribbean,2521 WEBSTER AVENUE,7,2,2,10.0,6.0,6,1.66666666667,1.0,2,982,1,40.66666667,58.66666667,2,4,4.3,0,0,4,13,39,19,40.0,23.0,36.0,1.0,16,False,False,1,1,True,False,False,False,40.8615597,-73.89178270000002
41069770,26.0,16.0,2014-05-08,2017-02-28,2016-07-21,10305,STATEN ISLAND,Bakery,1650 HYLAN BOULEVARD,12,1,2,25.0,14.0,11,2.27272727273,1.27272727273,222,1027,0,44.66666667,53.33333333,1,8,4.3,0,0,2,3,0,0,7.0,3.0,0.0,39.0,2,True,False,0,1,False,False,True,False,40.5881407,-74.0902210619
41070399,6.0,7.0,2013-07-24,2016-04-26,2014-10-08,10003,MANHATTAN,Japanese,220 PARK AVENUE SOUTH,6,1,2,5.0,5.0,5,1.0,1.0,566,1007,0,57.33333333,62.0,1,1,3.8,0,0,17,44,5,0,37.0,34.0,5.0,30.0,10,True,True,0,0,False,True,False,False,40.73711770000001,-73.98883190000002
41072012,18.0,7.0,2014-02-22,2017-02-14,2016-08-01,11215,BROOKLYN,Pizza/Italian,226 4 AVENUE,9,1,2,17.0,5.0,8,2.125,0.625,197,1088,0,36.0,69.66666667,2,6,3.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,False,0,1,False,False,True,False,40.6006278,-74.14276650000002
41073493,7.0,8.0,2013-08-17,2016-04-19,2015-03-17,10305,STATEN ISLAND,Italian,1110 HYLAN BOULEVARD,5,1,3,6.0,5.0,4,1.5,1.25,399,976,0,62.0,39.66666667,1,1,4.2,0,0,2,0,1,4,4.0,6.0,0.0,18.0,1,True,False,0,0,False,True,False,False,40.59828565,-74.07977075
41073776,1.0,4.0,2014-11-06,2016-11-10,2015-11-06,10452,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1324 JEROME AVENUE,3,1,1,0.0,3.0,2,0.0,1.5,370,735,0,55.66666667,49.66666667,0,0,3.2,0,0,3,14,43,9,32.0,47.0,50.0,1.0,9,True,False,0,0,False,True,False,False,40.8385221,-73.9186821
41073985,11.0,11.0,2014-01-24,2016-05-18,2015-06-17,10118,MANHATTAN,American,350 5 AVENUE,8,1,2,10.0,9.0,7,1.42857142857,1.28571428571,336,845,0,56.33333333,48.0,2,4,3.9,0,0,2,8,7,6,2.0,23.0,4.0,4.0,4,False,False,0,1,False,False,True,False,40.5880144309,-73.9728003646
41074013,14.0,9.0,2014-10-27,2016-11-04,2016-02-09,10036,MANHATTAN,American,35 WEST   45 STREET,7,1,2,13.0,7.0,6,2.16666666667,1.16666666667,269,739,0,60.33333333,61.33333333,1,3,3.9,0,0,22,43,1,0,15.0,11.0,4.0,3.0,35,True,True,0,0,False,True,False,False,40.7562525,-73.9809296
41074207,12.0,2.0,2014-07-29,2017-03-02,2016-06-23,10014,MANHATTAN,American,183 WEST   10 STREET,6,3,1,9.0,1.0,5,1.8,0.2,252,947,1,53.33333333,64.0,2,4,4.6,0,0,7,49,18,2,65.0,55.0,43.0,41.0,10,True,True,1,1,True,False,False,False,40.7343915,-74.00270859999998
41075000,14.0,11.0,2014-05-07,2017-01-30,2017-01-05,10019,MANHATTAN,Italian,117 WEST   58 STREET,7,1,1,13.0,10.0,6,2.16666666667,1.66666666667,25,999,0,36.66666667,47.0,5,4,3.6,0,0,10,22,2,0,18.0,31.0,10.0,5.0,24,True,False,0,1,False,False,True,False,40.7654611,-73.9772655
41075909,8.0,7.0,2014-03-01,2016-09-06,2015-08-21,11418,QUEENS,Chinese,8720 LEFFERTS BOULEVARD,5,1,1,7.0,6.0,4,1.75,1.5,382,920,0,74.0,60.0,2,2,4.0,0,0,2,5,5,3,2.0,28.0,5.0,39.0,3,False,False,0,0,False,True,False,False,40.668726,-73.8214429
41075977,12.0,13.0,2014-01-31,2016-08-15,2015-08-04,10017,MANHATTAN,Spanish,369 LEXINGTON AVENUE,8,1,2,11.0,11.0,7,1.57142857143,1.57142857143,377,927,0,86.66666667,66.0,1,4,4.2,0,0,19,45,3,1,21.0,11.0,2.0,11.0,9,True,False,0,0,False,True,False,False,40.7503856,-73.97664259999998
41076181,9.0,8.0,2014-08-18,2017-03-20,2017-02-23,11417,QUEENS,Chinese,10702 LIBERTY AVENUE,7,1,3,8.0,5.0,6,1.33333333333,0.833333333333,25,945,0,40.33333333,50.0,2,2,3.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,False,0,1,False,False,True,False,42.663634,-73.63911390000001
41078097,20.0,14.0,2013-06-13,2016-03-23,2015-08-13,11373,QUEENS,Korean,7532 BROADWAY,8,1,2,19.0,12.0,7,2.7142857142900003,1.71428571429,223,1014,0,49.66666667,45.33333333,2,6,3.8,0,0,9,24,39,17,76.0,70.0,39.0,24.0,12,True,True,0,1,False,False,True,False,40.7935938,-73.9727055
41079477,8.0,7.0,2013-10-21,2016-09-15,2015-10-23,10112,MANHATTAN,Delicatessen,30 ROCKEFELLER PLAZA,7,1,2,7.0,5.0,6,1.16666666667,0.833333333333,328,1060,0,73.66666667,57.0,1,2,3.7,0,0,16,38,1,1,14.0,6.0,1.0,6.0,11,True,False,0,0,False,True,False,False,40.75912320000001,-73.9795558884
41083785,16.0,9.0,2014-03-05,2017-01-24,2016-12-10,11230,BROOKLYN,Pakistani,1032 CONEY ISLAND AVENUE,9,2,2,14.0,7.0,8,1.75,0.875,45,1056,1,42.0,87.0,2,5,4.0,0,0,1,5,21,10,15.0,57.0,26.0,17.0,4,True,False,1,1,True,False,False,False,40.63236825,-73.9671342004
41084481,28.0,14.0,2014-10-20,2017-03-20,2017-02-23,10013,MANHATTAN,Chinese,25 PELL STREET,11,1,1,27.0,13.0,10,2.7,1.3,25,882,0,41.33333333,53.66666667,5,8,3.8,0,0,16,72,16,6,30.0,38.0,19.0,11.0,10,True,False,0,1,False,False,True,False,40.7147762,-73.9983690704
41085412,10.0,10.0,2014-06-11,2017-01-11,2016-12-15,10003,MANHATTAN,Japanese,309 EAST    5 STREET,7,1,1,9.0,9.0,6,1.5,1.5,27,945,0,33.0,71.33333333,2,3,4.7,0,0,16,41,53,14,78.0,56.0,123.0,24.0,17,True,True,0,1,False,False,True,False,40.7267288,-73.9883071
41085883,11.0,4.0,2013-07-15,2016-05-19,2015-12-08,10014,MANHATTAN,Bakery,250 BLEECKER STREET,7,2,1,9.0,3.0,6,1.5,0.5,163,1039,1,60.66666667,61.0,1,2,4.2,0,0,22,49,21,4,58.0,53.0,42.0,38.0,12,True,True,1,1,True,False,False,False,40.7309845,-74.0029743
41086368,4.0,3.0,2015-01-28,2017-03-07,2016-02-01,11368,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10430 ROOSEVELT AVENUE,3,1,2,3.0,1.0,2,1.5,0.5,400,769,0,37.66666667,46.0,1,1,3.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,False,0,1,False,False,True,False,40.762461,-73.5150429
41086770,6.0,7.0,2015-01-13,2017-02-27,2017-01-31,10018,MANHATTAN,American,247 WEST   37 STREET,4,2,1,4.0,6.0,3,1.33333333333,2.0,27,776,1,46.33333333,58.66666667,2,1,3.9,0,0,14,40,7,1,29.0,23.0,3.0,5.0,26,True,False,1,1,True,False,False,False,40.7540693,-73.9912692
