,crit_violations,non_crit_violations,earliest_inspection,latest_inspection,second_latest_inspection,zipcode,boro,cuisine,address,num_inspections,crit_violations_recent_inspect,non_crit_violations_recent_inspect,crit_violations_train,non_crit_violations_train,num_inspections_train,average_crit_v_train,average_non_crit_v_train,time_since_last_inspection,time_since_first_inspection,crit_v_2plus,3-day temp,3-day humidity,crit_vs_sec_last_insp,prior_2p_crit_insps,rating,rating_null,rating_null_zip,food_poisoning_complaints,food_establishment_complaints,electric_complaints,safety_complaints,rodent_complaints,dirty_conditions_complaints,general_complaints,missed_collection_complaints,police_matter_complaints,liq_license,side_license,target,prediction,true_positive,true_negative,false_positive,false_negative,latitude,longitude
40396548,9.0,10.0,2014-09-10,2016-09-12,2015-07-29,10458,BRONX,Pizza,590 EAST  191 STREET,6,1,1,8.0,9.0,5,1.6,1.8,411,733,0,77.33333333,61.33333333,1,3,4.5,0,0,2,2,20,4,16.0,2.0,5.0,6.0,0,True,False,0,0,False,True,False,False,40.8587698,-73.884812
40396622,30.0,13.0,2013-11-06,2016-10-24,2016-09-15,10065,MANHATTAN,Italian,1260 2 AVENUE,12,2,1,28.0,12.0,11,2.54545454545,1.09090909091,39,1083,1,53.33333333,60.33333333,3,9,3.8,0,0,0,2,5,0,27.0,57.0,2.0,8.0,4,False,False,1,1,True,False,False,False,40.5897475588,-73.95708002939999
40397116,9.0,6.0,2014-02-11,2016-12-14,2016-06-07,10016,MANHATTAN,Spanish,6 EAST   36 STREET,5,1,1,8.0,5.0,4,2.0,1.25,190,1037,0,39.0,62.33333333,2,2,4.1,0,0,16,57,6,0,37.0,37.0,4.0,12.0,3,True,False,0,1,False,False,True,False,40.749308,-73.9831118
40397349,15.0,7.0,2013-08-16,2016-04-12,2015-02-09,10019,MANHATTAN,Continental,123 WEST   57 STREET,8,1,2,14.0,5.0,7,2.0,0.714285714286,428,970,0,49.0,49.33333333,1,5,3.8,0,0,11,23,2,1,23.0,29.0,13.0,7.0,25,True,False,0,1,False,False,True,False,40.7651006,-73.9783747
40397458,5.0,2.0,2013-09-17,2016-08-29,2015-09-03,11354,QUEENS,Pizza,13655 ROOSEVELT AVENUE,4,2,1,3.0,1.0,3,1.0,0.333333333333,361,1077,1,83.0,53.66666667,0,1,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,False,1,0,False,False,False,True,40.762461,-73.5150429
40397723,1.0,5.0,2014-03-20,2016-05-12,2015-03-26,10306,STATEN ISLAND,Hamburgers,2221 HYLAN BOULEVARD,3,1,2,0.0,3.0,2,0.0,1.5,413,784,0,60.66666667,53.33333333,0,0,3.8,0,0,0,1,1,5,0.0,13.0,4.0,15.0,3,False,False,0,0,False,True,False,False,40.5638097,-74.1163707
40397810,8.0,3.0,2014-07-19,2017-03-30,2016-02-07,11105,QUEENS,American,2344 STEINWAY STREET,5,1,1,7.0,2.0,4,1.75,0.5,417,985,0,47.66666667,64.0,1,1,3.9,0,0,4,9,1,4,15.0,34.0,3.0,19.0,9,True,False,0,0,False,True,False,False,40.7605248,-73.9177498
40398367,6.0,8.0,2013-09-17,2016-05-25,2015-08-31,11354,QUEENS,Hamburgers,3001 STRATTON STREET,5,1,1,5.0,7.0,4,1.25,1.75,268,981,0,70.0,69.33333333,1,1,2.6,0,0,1,6,0,0,0.0,6.0,0.0,3.0,0,False,False,0,0,False,True,False,False,40.7700486,-73.83488609999998
40398440,13.0,8.0,2013-06-11,2016-05-26,2015-12-08,11375,QUEENS,Pizza,10826 ASCAN AVENUE,9,1,2,12.0,6.0,8,1.5,0.75,170,1080,0,72.33333333,62.0,1,2,4.5,0,0,0,0,0,0,1.0,5.0,0.0,8.0,0,False,False,0,0,False,True,False,False,40.7145331,-73.8429824
40398532,27.0,15.0,2014-05-22,2017-03-20,2016-06-20,11218,BROOKLYN,Jewish/Kosher,1478 39 STREET,10,2,2,25.0,13.0,9,2.77777777778,1.44444444444,273,1033,1,41.33333333,53.66666667,2,8,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,False,1,1,True,False,False,False,41.1298089231,-72.3580297307
40398688,4.0,7.0,2013-04-04,2016-03-28,2015-03-25,11234,BROOKLYN,Chinese,5100 KINGS PLAZA SHOPPING CT,4,1,1,3.0,6.0,3,1.0,2.0,369,1089,0,49.33333333,71.66666667,1,0,3.1,0,0,2,4,0,0,4.0,11.0,0.0,2.0,0,False,False,0,0,False,True,False,False,40.6100471,-73.92004969999998
