Serial#,County,Type,Class,Premises Name,Address,Address2,City,State,Zip,
1023843,NEW,L,222,LURIA LIQUID GROUP LTD,1217 MADISON AVENUE,,NEW YORK,NY,10128,
1291872,NEW,OP,252,LUSCIOUS INC,234 W 48TH ST,,NEW YORK,NY,10036,
1026954,NEW,OP,252,LUTECE INC,249 E 50TH STREET,,NEW YORK,NY,10022,
1224992,NEW,ST,1,LUTF S. ALROBAYI,118 9TH AVENUE,,NEW YORK,NY,10011,
1224991,NEW,AX,122,LUTF S. ALROBAYI,118 9TH AVENUE,,NEW YORK,NY,10011,
1230155,NEW,ST,2,LUTF S. ALROBAYI,118 9TH AVENUE,,NEW YORK,NY,10011,
1027582,NEW,OP,252,LUV BUZZ LLC,1438 3RD AVENUE,,NEW YORK,NY,10028,
1222420,NEW,ST,9,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1221355,NEW,ST,9,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1220421,NEW,ST,9,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1215997,NEW,ST,9,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1217845,NEW,ST,9,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1219277,NEW,ST,9,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1209977,NEW,ST,6,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1211492,NEW,ST,7,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1208451,NEW,ST,5,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1214242,NEW,ST,9,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1212995,NEW,ST,8,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1247118,NEW,RW,341,LUWAM RESTAURANT CORP,545 WEST 125TH STREET,,NEW YORK,NY,10027,
1200776,NEW,OP,252,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1200777,NEW,ST,1,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1205074,NEW,ST,2,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1206213,NEW,ST,3,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1207214,NEW,ST,4,LUWAM RESTAURANT CORP,545 W 125TH ST,,NEW YORK,NY,10027,
1281803,NEW,RW,341,LUX BAR &amp; GRILL CORP,92A NAGLE AVE,,NEW YORK,NY,10040,
1243385,NEW,OP,901,LUX BAR &amp; LOUNGE LLC,642 10TH AVENUE,,NEW YORK,NY,10036,
1224178,NEW,OP,252,LUX BAR &amp; LOUNGE LLC,642 10TH AVENUE,,NEW YORK,NY,10036,
1162856,NEW,RW,341,LUXOR CAFE INC,128 MACDOUGAL STREET,,NEW YORK,NY,10012,
1195874,NEW,ST,6,LUXOR LOUNGE INC,118 MACDOUGAL STREET,,NEW YORK,NY,10012,
1198590,NEW,ST,8,LUXOR LOUNGE INC,118 MACDOUGAL STREET,,NEW YORK,NY,10012,
